j_phi_i_i_factor m_i_factor t_j_phi_i_lag gamma pe phi_bar_over_c_bar phi_bar_over_phi_max c_bar_over_e alpha_plus alpha_minus beta_plus beta_minus n_ccr7 q_u q_b q_s d_c_s d_phi_i d_phi_m d_phi_c_u d_phi_c_b chi_u chi_b chi_s r m_h t_inflammation j_phi_i_h phi_i_init phi_m_init gamma_ui gamma_um gamma_bi gamma_bm
2 2 0 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
1000 2 0 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
2 1000 0 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
1000 1000 0 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
2 2 25 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
1000 2 25 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
2 1000 25 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
1000 1000 25 0 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 0 0 0 0
2 2 0 1 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 1 1 1 1
1000 2 0 1 -5 1.40179e-06 0.1 0.1 23.25 0.3 3.85493e-05 12.5 30000 0 0 0 0.01 0.01 0.01 0.01 0.01 0 0.004 0 0 0.00113865 50 0.000455461 0.9 0 1 1 1 1
